city,state_id,state_name,county_name,lat,lng,zips,id
Sumner,GA,Georgia,Worth,31.5103,-83.7369,31789,1840017062
Salyer,CA,California,Trinity,40.8860,-123.5807,95563,1840027334
Ocean Breeze,FL,Florida,Martin,27.2411,-80.2262,34957,1840150343
Carlos,MN,Minnesota,Douglas,45.9735,-95.2923,56319,1840006679
Sunshine,NM,New Mexico,Luna,32.1344,-107.7838,88030,1840025107
Wapella,IL,Illinois,De Witt,40.2218,-88.9612,61777,1840012316
Lewis,IA,Iowa,Cass,41.3064,-95.0842,51544,1840008236
Mechanicsville,PA,Pennsylvania,Schuylkill,40.6908,-76.1807,17901,1840002764
Gillett,AR,Arkansas,Arkansas,34.1193,-91.3789,72055,1840013606
Coalton,OH,Ohio,Jackson,39.1117,-82.6109,45692 45621,1840012744
Pinson,TN,Tennessee,Madison,35.4818,-88.7306,38366,1840036083
Lafitte,LA,Louisiana,Jefferson,29.6957,-90.0995,70067,1840013992
Wintergreen,VA,Virginia,Nelson,37.9161,-78.9382,22958 22967,1840024717
Hume,IL,Illinois,Edgar,39.7981,-87.8686,61932,1840012502
Gambell,AK,Alaska,Nome,63.7538,-171.6881,99742,1840023507
Chevak,AK,Alaska,Kusilvak,61.5295,-165.5941,99563,1840023322
Trenton,ND,North Dakota,Williams,48.0700,-103.8429,58853 58801,1840033100
Oakfield,ME,Maine,Aroostook,46.1020,-68.1518,04763,1840152982
Fifty Lakes,MN,Minnesota,Crow Wing,46.7618,-94.0898,56448,1840007737
Gilman,WI,Wisconsin,Taylor,45.1662,-90.8072,54433,1840001569
Stanford,IN,Indiana,Monroe,39.0898,-86.6667,47403 47463,1840055677
Hope,KS,Kansas,Dickinson,38.6912,-97.0765,67451,1840007411
Holt,MO,Missouri,Clay,39.4552,-94.3371,64048,1840007372
Pineville,WV,West Virginia,Wyoming,37.5846,-81.5355,24874,1840006383
Sardis,TN,Tennessee,Henderson,35.4424,-88.2913,38371,1840017791
Echo,OR,Oregon,Umatilla,45.7431,-119.1917,97826,1840019913
Rifton,NY,New York,Ulster,41.8297,-74.0380,12561 12471 12487,1840004712
Brandon,MN,Minnesota,Douglas,45.9663,-95.5946,56315,1840006681
Platea,PA,Pennsylvania,Erie,41.9510,-80.3304,16417 16410,1840000484
Oak Park,GA,Georgia,Emanuel,32.3822,-82.3153,30471 30436,1840016962
Black,AL,Alabama,Geneva,31.0099,-85.7440,36314,1840015882
Greenville,MO,Missouri,Wayne,37.1284,-90.4472,63944,1840008776
Jasper,AR,Arkansas,Newton,36.0124,-93.1874,72641,1840014492
